hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,address,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,description,check_in_time,check_out_time,room_types,data_source,data_quality_score
Omatra Infantry Road | Rooms in a Homestay,3.8,Very Good,319.0,,Infantry Road ,MG Road,1.4 km ,1.4,2098.0,554.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Bloom Hotel HSR Layout Sector 3,3.9,Very Good,24.0,3.0,HSR Layout,,,,5500.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
NOOR EMPIRE INTERNATIONAL,3.7,Very Good,1552.0,3.0,Koramangala,,,,2776.0,752.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Attide Biz,3.5,Very Good,468.0,3.0,Hebbal,,,,2835.0,693.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Stayhome Classic,4.3,Excellent,285.0,,Bilekahalli,,,,2345.0,642.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
DoubleTree Suites by Hilton,4.3,Excellent,849.0,5.0,Outer Ring Road,,,,9500.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Bloomrooms @ Indiranagar,4.1,Very Good,874.0,3.0,Indiranagar,,,,4300.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
RG Royal Hotel,4.2,Very Good,875.0,4.0,Yeshwanthpur,,,,3666.0,741.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Four Seasons Hotel Bengaluru at Embassy One,4.8,Excellent,302.0,5.0,Ganganagar ,Palace Grounds,990 m ,0.99,14875.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Ramee Strand inn,3.0,Good,348.0,3.0,Hosur road,,,,1505.0,396.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Shravanthi Sarovar Portico JP Nagar,3.6,Very Good,139.0,4.0,Outer Ring Road,,,,3977.0,804.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"Vivanta Bengaluru, Whitefield",4.3,Excellent,959.0,5.0,Whitefield,,,,7500.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"Melange Astris
Like a 3",4.1,Very Good,1006.0,,Richmond road ,Cubbon Park,2.5 km ,2.5,4300.0,969.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Octave Church Inn,3.5,Very Good,712.0,3.0,Church Street ,MG Road,94 m ,0.094,1669.0,337.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Mastiff Infantry Bengaluru,4.0,Very Good,221.0,3.0,Infantry Road ,MG Road,1.8 km ,1.8,1865.0,569.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"Taj Club House, Chennai",4.3,Excellent,2000.0,5.0,Royapettah,,,,6390.0,767.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
The Park Chennai,3.7,Very Good,8366.0,5.0,Near US Consulate,,,,7198.0,2167.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Taj Fisherman's Cove Resort & Spa, Chennai",4.3,Excellent,1856.0,5.0,Covelong ,city centre,36.3 km ,36.3,12555.0,2260.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Hotel Savera,4.0,Very Good,7458.0,4.0,Mylapore,,,,4612.0,1091.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Ibis Chennai OMR - An Accor Brand,4.1,Very Good,2545.0,4.0,Sholinganallur,,,,3345.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Taj Coromandel, Chennai",4.5,Excellent,784.0,5.0,Near US Consulate,,,,11200.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Courtyard by Marriott Chennai,4.2,Very Good,1208.0,4.0,Mount road,,,,7500.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Radisson Blu Hotel Chennai City Centre,4.3,Excellent,3991.0,5.0,Egmore,,,,9443.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
FIRST INN HOTELS,3.8,Very Good,214.0,,Perungudi,,,,2907.0,594.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Ibis Chennai City Centre - An Accor Brand,3.9,Very Good,2213.0,3.0,Mount road ,Thousand Lights Mosque,540 m ,0.54,5299.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Rohaan Inns - UPAR Ashok Nagar,4.1,Very Good,179.0,,Ashok Nagar ,Chennai Airport,9.4 km ,9.4,1771.0,495.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Vivanta Chennai, IT Expressway",4.4,Excellent,1601.0,5.0,Sholinganallur,,,,7360.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Taj Connemara, Chennai",4.5,Excellent,1215.0,5.0,Chennai,,,,7600.0,1368.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Four Points by Sheraton Chennai OMR,4.1,Very Good,2314.0,4.0,Sholinganallur,,,,5859.0,1197.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Ramada Plaza by Wyndham,4.5,Excellent,3185.0,5.0,Saidapet ,Chennai Airport,7.6 km ,7.6,7533.0,2554.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Citadines OMRChennai,4.4,Excellent,1714.0,5.0,Sholinganallur,,,,11340.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
