hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state
BOULEVARD BY DESIGN HOTEL,4.1,Very Good,821,4,Velachery ,Chennai Airport,8.7 km ,8.7,4860,1026,Chennai,Tamil Nadu
Fairfield by Marriott Chennai OMR,4.2,Very Good,983,4,Sholinganallur,,,,4850,,Chennai,Tamil Nadu
ITC Grand Chola - A Luxury Collection Hotel,4.4,Excellent,2603,5,Guindy ,Chennai Airport,7.8 km ,7.8,12500,,Chennai,Tamil Nadu
The Ambassador Pallava,4,Very Good,1926,4,Egmore,,,,8079,2432,Chennai,Tamil Nadu
Le Royal Meridien,3.9,Very Good,1968,5,Mount road ,Chennai Airport,5.6 km ,5.6,9000,,Chennai,Tamil Nadu
"Taj Wellington Mews, Chennai",4.7,Excellent,327,5,Tharamani,,,,10560,,Chennai,Tamil Nadu
Novotel Chennai Sipcot - An Accor Brand,4.3,Excellent,855,5,Egatoor ,city centre,31.6 km ,31.6,8138,,Chennai,Tamil Nadu
The Mount Manor,3.4,Good,874,3,Chennai Airport ,Chennai Airport,3.8 km ,3.8,2350,634,Chennai,Tamil Nadu
Green Park Chennai,4.2,Very Good,1503,5,Vadapalani,,,,6696,1368,Chennai,Tamil Nadu
Mango Hill central Chennai,3.2,Good,196,3,T Nagar,,,,3314,677,Chennai,Tamil Nadu
Venture Park,3.5,Very Good,1192,3,Thoraipakkam,,,,1315,339,Chennai,Tamil Nadu
Grand Chennai by GRT Hotels,4.5,Excellent,1535,5,T Nagar,,,,8550,1710,Chennai,Tamil Nadu
"Season 4 Residences, Nungambakkam",3.7,Very Good,101,,Near US Consulate,,,,2591,620,Chennai,Tamil Nadu
Ginger Chennai OMR,4.5,Excellent,161,3,Navallur,,,,2479,,Chennai,Tamil Nadu
Hotel Pandian,3.5,Very Good,2322,2,Egmore,,,,1595,342,Chennai,Tamil Nadu
Hilton Chennai,4.3,Excellent,811,5,Guindy ,Chennai Airport,8.2 km ,8.2,11000,,Chennai,Tamil Nadu
FORTEL,3.5,Very Good,502,,Egmore,,,,3118,703,Chennai,Tamil Nadu
Royal Park,3.1,Good,10,,Near Marina Beach,,,,1351,407,Chennai,Tamil Nadu
Fairfield by Marriott Chennai Mahindra World City,4.2,Very Good,442,4,Mahindra World City ,city centre,45.7 km ,45.7,5533,1130,Chennai,Tamil Nadu
