hotel_id,hotel_name
4449,Barsana Boutique Hotel (Pure vegetarian)
4123,THE MAUREEN KOLKATA
1788,The Aster Penthouse
4246,The Firangipani Suites
3332,Celesta
2340,HOTEL EASTERN PLAZA
3162,Hotel Aura
2631,Viceroy Kolkata (Boutique Hotel)
2119,Beyzaa Hotel & Suites (Brewery Hotel)
1613,The CORPORATE
3134,Hotel Trimoorti
2373,Bubble Beds
2405,The Opus Kolkata - A Boutique Hotel
1057,Hotel Crest Inn
801,Golden Parkk
706,Hotel The Crest
671,Park Victoria Hotel
3146,The Samilton
4054,Treebo Trend Orion Sapphire Beck Bagan
1515,Eennra Oiitijhyya
150,"The Aster Heritage Homestay | Rooms & Caretaker
Like a 3"
597,Basera Guest House
2578,LYNQ-CICO - Hotel
945,The Lake Hotel
3612,"The Aster Heritage Gold
Like a 3"
684,Treebo Tryst Tahoora International Park Street
2479,Southern Plaza
2285,DIAMOND PLAZA
1310,Lytton Hotel
4227,"Dorota House | Room & Caretaker
Like a 3"
1832,Hotel O2 VIP
2952,Hotel Gateway Continental
2831,Hotel Air View
658,Hotel Casa Fortuna
3476,Middleton Inn
3128,Hotel Sawood International
3892,The Orchid Hotel Mumbai Vile Parle
2362,Trident Bandra Kurla
2368,ITC Grand Central - A Luxury Collection Hotel
4348,IRA By Orchid Mumbai ( VITS Mumbai)
4469,Trident Nariman Point
562,The Lalit Mumbai
4529,"Ginger Mumbai, Andheri East"
2692,"Taj Santacruz, Mumbai"
323,Hotel Surya Prakash
2715,Hilton Mumbai International Airport
2253,Holiday Inn Mumbai International Airport
309,goSTOPS Mumbai - Rooms & Dorms
4407,The Regale by Tunga
2648,"Taj Lands End, Mumbai"
719,"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai"
587,Sahara Star
788,Qubestay Airport Capsule Hostel | Rooms & Dorms
539,Courtyard by Marriott Mumbai International Airport
3604,The Westin Mumbai Garden City
2488,JW Marriott Mumbai Juhu
2371,ITC Maratha - A Luxury Collection Hotel
2453,City Stay
3456,JW Marriott Mumbai Sahar
20,Radisson Mumbai Andheri MIDC
1035,Sofitel Mumbai BKC- Luxury Brand by Accor
1953,The Leela Mumbai
1127,Novotel Mumbai International Airport
1958,Radisson Blu Mumbai International Airport
1165,Sun-N-Sand
439,The St. Regis Mumbai
3341,Niranta Airport Transit Hotel & Lounge Terminal 2 Arrivals/Landside
2260,"Zostel Mumbai
Like a 3"
1114,"President, Mumbai - IHCL SeleQtions"
2830,Novotel Mumbai Juhu Beach
1201,Ibis Mumbai Airport - An Accor Brand
4621,"Ginger Mumbai, Andheri (MIDC)"
3917,Lakeside Chalet Marriott Executive Apartments
3577,"Lemon Tree Hotel, Kalina, Mumbai"
1045,Ramee Guestline Hotel Juhu
204,Ramee Techome
1906,Shabana
1787,Hotel Bawa International
1163,"Ginger Mumbai, Goregaon"
1783,Grand Hyatt Mumbai
2937,Hotel Marine Plaza
946,"Lemon Tree Premier, Mumbai International Airport, Mumbai"
3703,Hotel Airport International
1790,Dragonfly Hotel - The Art Hotel
4388,Four Seasons Hotel Mumbai
2098,Gateway Inn | Rooms in an Apartment
4112,"The Oberoi, Mumbai"
2898,Hotel Jyoti Dwelling
4550,Indie Stays
1745,Meluha - The Fern
1695,Afra dormitory
4208,Hotel Airlink
3815,The Fern Goregaon
626,Mirage Hotel
4304,"RELOhomes | 1 BHK Apartment
Like a 4"
3129,Click Hotel Caliph
3399,HOTEL LEAFIO MARIGOLD
4242,"Keys Select by Lemon Tree Hotels, Nestor, Mumbai"
215,Hotel Sea Princess
777,HOTEL WEGO
916,Rodas - An Ecotel Hotel
1104,The Westin Mumbai Powai Lake
3788,Mayura Aureole Co-Living
2588,Sea Green Hotel
4419,ibis Mumbai Vikhroli - An Accor Brand
197,Aboo's Concord Galaxy
4501,The Paradise by Tunga
1992,Address Dormitory
3186,Arnna Hotel - Goregaon
1480,Ramee Guestline Hotel - Dadar
1026,Hotel Metro Palace
997,Hotel Manama
1053,Aashiyana Dormitory
3960,T24 Residency
3079,"The Taj Mahal Palace, Mumbai"
97,The Roa Hotel
1243,Hotel Leafio
140,The Byke Delotel
4008,The Empresa Hotel
3224,HOTEL KOHINOOR PARK
1213,The Altruist Business Hotel (Andheri)
1019,Hotel Parle International
2487,Ocean Dormitory
2888,Hotel Beacon T2
464,Hotel Columbus
2032,Sea Green South Hotel
1794,Hotel Suba International
4185,Classic Dormitory
808,The Resort Mumbai
1173,The Mirador
2282,The Sahil Hotel
3576,Avion Hotel
2222,Blossom Dormitory ( For Male and Female)
1256,Comfort Inn Heritage
1840,Hotel Planet Residency
1819,Hotel Kohinoor Elite
151,Residency Hotel Andheri
2019,The Ambassador
1239,Trident Hotel
2326,Radisson Blu Plaza Delhi Airport
1587,Hotel Surya
458,Master Guest House
4089,Jaypee Vasant Continental Hotel
3567,Parkland Hotel
240,Vishal Residency Hotel
4341,Yatri Guesthouse
4632,Hotel Metropolis
3309,Hotel Tara Palace
4039,Star Paradise
1861,Vivek
4487,Arjun Guesthouse
2396,Tree of Life
3297,Vishal
766,Hare Krishna Guest House
2776,Anoop
2679,Maidens Hotel
1508,Radisson Blu Marina Hotel Connaught Place
1427,Hotel Florence
1887,DSUI
2597,Imperial Hotel
