hotel_name,hotel_id,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,price_range,latitude,longitude,hotel_type,room_types,data_quality_score,star_rating_clean,has_coordinates,amenity_free_wifi,amenity_air_conditioning,amenity_24_7_front_desk,amenity_spa,amenity_pool,amenity_gym,amenity_restaurant,amenity_room_service,amenity_business_center,amenity_meeting_rooms,amenity_bar,amenity_swimming_pool,amenity_parking,amenity_travel_desk,amenity_airport_shuttle,amenity_conference_hall,amenity_valet_parking,total_amenities_count
The Monarch Luxur,2245,3.9,Very Good,775.0,4.0,Infantry Road ,MG Road,1.6,3723.0,752.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballal Residency,2227,3.9,Very Good,875.0,3.0,Residency Road ,MG Road,2.3,3084.0,836.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hibernest Indiranagar,1823,4.2,Very Good,142.0,-1.0,Indiranagar,Unknown,-1.0,1005.0,325.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortune Park JP Celestial-Member ITC Hotel Group,351,3.8,Very Good,1876.0,4.0,Gandhi Nagar,Unknown,-1.0,5292.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Click Hotel Bangalore, International Airport",1996,4.2,Very Good,438.0,3.0,Near Bangalore Airport ,Kempegowda Airport ,8.0,3510.0,421.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omatra Hotel HSR,3149,3.4,Good,91.0,-1.0,Outer Ring Road,Unknown,-1.0,2194.0,539.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svenska Design Hotel,1965,3.3,Good,627.0,-1.0,Electronic City,Unknown,-1.0,1999.0,642.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Suites,2286,3.9,Very Good,1341.0,4.0,Whitefield,Unknown,-1.0,2264.0,306.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iris Hotel & Spa Bangalore,656,4.1,Very Good,1016.0,4.0,Residency Road ,MG Road,2.1,5330.0,1247.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM Royal Stay Hotel near Intl Airport Bangalore,3818,4.2,Very Good,47.0,3.0,Near Bangalore Airport ,Kempegowda Airport ,5.0,1692.0,360.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halcyon Residences
Like a 3",2742,3.8,Very Good,613.0,-1.0,Koramangala,Unknown,-1.0,2759.0,755.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shangri-La Bengaluru,1324,4.5,Excellent,584.0,5.0,Palace road ,Bangalore Palace,1.9,13500.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Leela Bhartiya City Bengaluru,3366,4.6,Excellent,213.0,5.0,Tirumanahalli,Unknown,-1.0,11000.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holiday Inn Express & Suites, OMR Bengaluru",3919,4.1,Very Good,526.0,4.0,Whitefield,Unknown,-1.0,3999.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairfield By Marriott Bengaluru Rajajinagar,298,3.9,Very Good,883.0,4.0,Rajajinagar,Unknown,-1.0,5400.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
